image_name,tattoo_style,complexity_level
1_1.JPG,Realism,Complex
2_1.JPG,Realism,Simple
3_1.jpg,Realism,Complex
4_1.JPG,Realism,Complex
5_1.jpg,Watercolor,Simple
7_1.jpg,Watercolor,Complex
8_1.jpg,Realism,Medium
9_2.jpg,Realism,Complex
10_2.JPG,Tribal,Medium
10_3.JPG,Tribal,Complex
11_1.JPG,Watercolor,Complex
11_2.JPG ,Watercolor,Complex
12_1.JPG,Realism,Complex
12_2.JPG,Realism,Complex
13_1.JPG,Watercolor,Medium
14_2.JPG,Realism,Complex
15_2.JPG,Watercolor,Complex
16_1.JPG,Watercolor,Medium
17_2.JPG,Watercolor,Complex
17_4.JPG,Tribal,Complex
17_5.JPG,Realism,Complex
17_7.JPG,Watercolor,Complex
18_1.JPG,Realism,Complex
19_2.JPG,Realism,Medium
20_1.JPG,Tribal,Medium
21_1.JPG,Watercolor,Complex
